scenario,year,variable,commodity,sector,subsector,unit,value
BAU,2017,energy demand,RefPet,Textile,,10 billion CNY,0.6046538
BAU,2017,energy demand,ElecDist,Textile,,10 billion CNY,6.5565176
BAU,2017,energy demand,GasDist,Textile,,10 billion CNY,0.09226807
BAU,2017,domestic demand,,Textile,,10 billion CNY,317.90726
BAU,2017,commodity price,,Textile,,1,1.0
BAU,2017,investment,,Textile,,10 billion CNY,-1.6336868
BAU,2017,government consumption,Textile,,,10 billion CNY,0.0
BAU,2017,household consumption,Textile,RuralHH,,10 billion CNY,3.0750804
BAU,2017,household consumption,Textile,UrbanHH,,10 billion CNY,8.462552
BAU,2017,output,,Apparel,,10 billion CNY,378.05612
BAU,2017,production cost,,Apparel,,1,1.0
BAU,2017,capital demand,,Apparel,,10 billion CNY,27.239456
BAU,2017,labor demand,,Apparel,,10 billion CNY,46.79579
BAU,2017,CO2,,Apparel,,0.1 billion tons,0.04459986
BAU,2017,energy demand,Coal,Apparel,,10 billion CNY,0.45613614
BAU,2017,energy demand,RefPet,Apparel,,10 billion CNY,0.7178129
BAU,2017,energy demand,ElecDist,Apparel,,10 billion CNY,2.9302084
BAU,2017,energy demand,GasDist,Apparel,,10 billion CNY,0.10392541
BAU,2017,domestic demand,,Apparel,,10 billion CNY,255.19403
BAU,2017,commodity price,,Apparel,,1,1.0
BAU,2017,investment,,Apparel,,10 billion CNY,0.1508769
BAU,2017,government consumption,Apparel,,,10 billion CNY,0.0
BAU,2017,household consumption,Apparel,RuralHH,,10 billion CNY,18.997004
BAU,2017,household consumption,Apparel,UrbanHH,,10 billion CNY,112.61489
BAU,2017,output,,WoodPr,,10 billion CNY,256.50482
BAU,2017,production cost,,WoodPr,,1,1.0
BAU,2017,capital demand,,WoodPr,,10 billion CNY,20.508362
BAU,2017,labor demand,,WoodPr,,10 billion CNY,27.387735
BAU,2017,CO2,,WoodPr,,0.1 billion tons,0.047700275
BAU,2017,energy demand,Coal,WoodPr,,10 billion CNY,0.2959974
BAU,2017,energy demand,RefPet,WoodPr,,10 billion CNY,1.1640826
BAU,2017,energy demand,ElecDist,WoodPr,,10 billion CNY,4.427919
BAU,2017,energy demand,GasDist,WoodPr,,10 billion CNY,0.02524317
BAU,2017,domestic demand,,WoodPr,,10 billion CNY,208.9724
BAU,2017,commodity price,,WoodPr,,1,1.0
BAU,2017,investment,,WoodPr,,10 billion CNY,26.32071
BAU,2017,government consumption,WoodPr,,,10 billion CNY,0.0
BAU,2017,household consumption,WoodPr,RuralHH,,10 billion CNY,4.525834
BAU,2017,household consumption,WoodPr,UrbanHH,,10 billion CNY,15.676414
BAU,2017,output,,PaperPr,,10 billion CNY,393.8255
BAU,2017,production cost,,PaperPr,,1,1.0
BAU,2017,capital demand,,PaperPr,,10 billion CNY,40.851097
BAU,2017,labor demand,,PaperPr,,10 billion CNY,42.381725
BAU,2017,CO2,,PaperPr,,0.1 billion tons,0.2807014
