,AgFFF,Coal,OilGas,MetMin,NMetMin,FoodPr,Textile,Apparel,WoodPr,PaperPr,RefPet,Chemical,NMetPr,Metals,MetalPr,GenEqp,SpecEqp,TransEqp,ElecEqp,ICTEqp,PrecInst,OthMfg,Waste,MachRep,ElecDist,GasDist,WatDist,Constr,WhRetTr,TranspSrv,HotRest,ICTServ,Finance,RealEst,BusServe,ResTech,EnvServ,ResServ,Education,Health,RecEnt,PubAdm
AgFFF,0,0.768891,0,0,0,0,0,0,0,0,0.099493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal,0,0.017818,0,0,0,0,0,0,0,0,0.062848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.874637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OilGas,0,0.228658,0,0,0,0,0,0,0,0,0.194463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.998106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetMin,0,0.120358,0,0,0,0,0,0,0,0,0.004484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NMetMin,0,0.058808,0,0,0,0,0,0,0,0,0.009754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FoodPr,0,0.221018,0,0,0,0,0,0,0,0,0.020164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Textile,0,0.098311,0,0,0,0,0,0,0,0,0.021335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apparel,0,0.070374,0,0,0,0,0,0,0,0,0.012677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WoodPr,0,0.113177,0,0,0,0,0,0,0,0,0.006443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PaperPr,0,0.072056,0,0,0,0,0,0,0,0,0.015263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RefPet,0,0.02639,0,0,0,0,0,0,0,0,0.02816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chemical,0,0.096756,0,0,0,0,0,0,0,0,0.001714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NMetPr,0,0.143415,0,0,0,0,0,0,0,0,0.007955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metals,0,0.712954,0,0,0,0,0,0,0,0,0.001124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.418632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MetalPr,0,0.148486,0,0,0,0,0,0,0,0,0.005002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GenEqp,0,0.520704,0,0,0,0,0,0,0,0,0.012394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SpecEqp,0,0.182501,0,0,0,0,0,0,0,0,0.013285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TransEqp,0,0.784406,0,0,0,0,0,0,0,0,0.020029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ElecEqp,0,0.098785,0,0,0,0,0,0,0,0,0.014409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICTEqp,0,35.488229,0,0,0,0,0,0,0,0,0.011374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PrecInst,0,0.117394,0,0,0,0,0,0,0,0,0.008969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OthMfg,0,0.066554,0,0,0,0,0,0,0,0,0.014624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waste,0,0.494831,0,0,0,0,0,0,0,0,0.011406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MachRep,0,0.148485747,0,0,0,0,0,0,0,0,0.005001976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047183089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ElecDist,0,0.513351661,0,0,0,0,0,0,0,0,0.379084452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62528398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GasDist,0,0.000137,0,0,0,0,0,0,0,0,0.001159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WatDist,0,0,0,0,0,0,0,0,0,0,0.076775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.333176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Constr,0,0.18493,0,0,0,0,0,0,0,0,0.01109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WhRetTr,0,5.666026683,0,0,0,0,0,0,0,0,0.048787229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052588174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TranspSrv,0,0.583713335,0,0,0,0,0,0,0,0,0.08387366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036189185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HotRest,0,5.666026683,0,0,0,0,0,0,0,0,0.048787229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052588174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICTServ,0,0.25129152,0,0,0,0,0,0,0,0,0.030075426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025927555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finance,0,0.25129152,0,0,0,0,0,0,0,0,0.030075426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025927555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RealEst,0,0.25129152,0,0,0,0,0,0,0,0,0.030075426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025927555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BusServe,0,0.25129152,0,0,0,0,0,0,0,0,0.030075426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025927555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ResTech,0,0.25129152,0,0,0,0,0,0,0,0,0.030075426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025927555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EnvServ,0,0.25129152,0,0,0,0,0,0,0,0,0.030075426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025927555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ResServ,0,0.25129152,0,0,0,0,0,0,0,0,0.030075426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025927555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Education,0,0.25129152,0,0,0,0,0,0,0,0,0.030075426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025927555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Health,0,0.25129152,0,0,0,0,0,0,0,0,0.030075426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025927555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RecEnt,0,0.25129152,0,0,0,0,0,0,0,0,0.030075426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025927555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PubAdm,0,0.25129152,0,0,0,0,0,0,0,0,0.030075426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025927555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RuralHH,0,1.418239403,0,0,0,0,0,0,0,0,0.283948415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008335061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UrbanHH,0,0.384609397,0,0,0,0,0,0,0,0,0.056838759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050762943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coal_Power,0,0.513351661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas_Power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62528398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oil_Power,0,0,0,0,0,0,0,0,0,0,0.379084452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
